,x,y
0,55.7909718157,69.9365934283
1,47.2282091405,14.7561070913
4,57.2468738451,51.4617618588
5,70.8319847999,65.5199077407
6,73.3670855496,91.5959640491
7,69.9744916206,94.9394275208
8,40.1049144627,9.58672855908
9,46.306867762,63.0790021629
10,63.5118905297,91.3188400408
11,61.3784207464,51.9097664689
12,24.4368259537,4.28624078996
13,28.4162104994,5.46796845638
14,41.6293918156,52.1743334507
15,40.9624624616,7.50677488138
16,50.4048080182,40.9862915909
17,28.064915354,20.6178017531
19,78.3457430124,91.1442756985
21,48.576498562,23.373489831
22,68.1415063219,57.0886856283
23,35.1771191716,21.2889005583
24,60.277198436,57.723872583
25,69.0733755677,77.2059289324
26,54.9438297151,32.941989407
27,41.8482124647,44.5883095101
28,29.441699163,5.73279918759
30,34.3192687687,21.9333645175
31,54.6812364909,95.4787598334
32,50.830247166,32.553562636
33,36.4001855327,12.9287725207
35,40.0448949588,34.973472985
37,67.6124652252,49.3027674007
38,45.9721509763,23.6637085192
39,57.8424149318,58.6383610501
40,51.6168124814,64.531431227
41,38.3860154463,29.6439075432
42,82.46724168,95.6593486437
43,22.8861602963,0.0114056393817
44,79.4263516761,99.2698800671
47,55.807633571,79.0912662501
48,49.6447592807,31.6975833729
49,28.7071929512,19.1777034365
50,45.6904410065,56.6153334155
51,49.9355452399,38.8000604975
53,57.6524875514,67.6529109488
54,61.8960294968,46.3373451262
55,48.4714332864,44.8087250029
56,64.8693862824,92.7846809099
58,48.5282435828,38.7781932107
59,38.9816975616,56.6971386306
60,22.1525466166,1.87126319037
61,38.8887808577,32.8430633079
63,55.0247203448,68.0577628337
65,62.6428692695,84.1675315407
66,54.987996807,81.897232613
67,67.0054190547,93.1570846804
68,50.3530481629,44.5909244275
69,46.4315061577,35.5709442115
70,41.4966700091,33.2331654025
71,45.571870558,48.93801295
72,59.5518487262,43.0408745162
73,50.3666439178,48.9957895476
74,59.5083922835,67.2231679587
77,48.7454943377,66.8406774566
78,50.5354363801,18.1964864096
79,29.3169060269,6.35268465503
80,62.8086406129,93.993079221
81,85.057792881,79.4131993797
82,34.2946169945,7.06898620271
84,33.3845809961,11.7978607101
86,72.3038815182,94.7885696826
87,38.9496288838,9.81915009164
88,71.0085263017,81.0677514043
89,31.2028861704,0.0645656445962
90,44.658260858,19.3585031044
91,35.6248907864,26.4140627705
92,59.341379739,63.8125493473
93,60.2196498836,79.8285218722
96,58.7258632446,74.3630687968
99,42.3845648942,55.5576739181
100,64.9353102974,80.3475669854
101,49.5564587021,50.6937867532
104,72.6187112418,81.4728024583
106,33.4052196482,22.9983279399
107,48.6874414786,38.553136122
108,43.3767323014,49.8525614091
111,58.1384982868,73.7567022368
113,66.8308084448,73.8965570812
114,41.836547671,26.0960551519
115,30.9737261557,16.3020143457
116,46.1230612646,33.8957370514
117,54.9207537753,55.9941341333
118,42.4719345739,22.3160191432
119,31.7340349528,26.19768637
120,59.6602530193,71.1389296118
123,72.1304361508,92.9543761661
124,62.3554065495,66.1313980943
125,29.8253702113,8.27481322951
126,52.8836434474,62.615927985
127,32.9291416157,5.29019601905
128,41.4051061082,33.1126892915
129,30.2919147933,1.15230198196
130,37.6451237763,33.9215574513
131,84.9970089944,97.7031353202
132,56.6641126118,65.8990861195
133,36.8220446576,13.4137085719
137,35.2743113947,12.1660304542
138,32.2554489511,5.52690352418
140,36.9797980162,10.192580621
142,46.2729422339,58.3243666633
143,26.7819921561,9.57528865767
144,52.473844867,61.1470483244
145,50.0637803421,52.3931709543
146,71.0066775336,90.987444483
147,46.7681988706,58.0920989194
150,46.7603725394,52.9512114954
151,73.050688586,94.0099951388
153,55.4634109881,71.9748830508
154,54.8878396148,75.8558634406
155,46.7175056637,45.3708200727
157,58.3415929169,87.3669552245
158,30.9406203488,3.68885464012
159,43.8773877152,16.5994443217
160,41.0650238931,41.8974884321
161,47.3107900914,55.5072811034
162,39.9409186214,19.1434218125
164,41.89231521,23.7448047171
165,39.445846226,31.9007765222
166,55.7874243553,63.782837942
167,32.1116334639,23.9826531817
168,71.1990034259,97.4032423768
169,34.1148246116,12.7431090357
171,60.5866656947,43.6553175251
172,23.7445872074,4.77513142137
174,44.7348333109,27.9494448323
175,47.1306506663,34.9064780376
176,45.2032821055,79.0635740404
177,55.2570171341,64.3341018649
179,45.9529981256,10.2682205525
180,43.2441938254,24.9094084083
181,31.2984223513,11.7268672901
182,59.4640995444,87.6827026135
184,50.9438026581,41.6379135031
186,31.7285047479,12.4903829997
188,32.6256151336,25.1914341709
189,33.0878368521,23.003823149
190,49.3641894359,33.0434167997
192,46.6737581663,48.60672486
193,27.6611771454,9.76520419268
194,71.3981547428,88.8044516258
195,68.5627654306,92.6288756372
