x,y
75.87,71.84
78.62,73.34
80.37,75.34
81.12,77.59
81.62,80.59
81.12,83.34
80.37,85.34
79.12,87.34
77.12,89.09
75.37,89.84
72.87,90.59
70.37,90.34
66.87,88.84
65.37,86.59
64.12,84.34
63.87,80.84
64.37,78.09
66.37,76.59
68.62,75.34
70.12,73.84
72.87,72.09
74.87,73.84
73.12,74.84
71.12,75.84
70.12,77.34
68.12,78.34
67.12,79.59
66.12,80.59
66.37,82.09
66.62,83.59
66.87,85.09
68.62,86.84
70.12,87.84
71.12,87.84
73.87,87.34
76.12,85.84
75.12,87.09
77.12,83.84
78.37,83.34
78.12,85.59
78.87,81.34
79.12,79.09
78.37,77.34
77.62,75.09
77.12,74.34
75.37,76.09
75.87,78.34
75.87,80.59
75.62,82.09
74.62,83.34
73.62,84.09
73.12,85.09
71.87,85.59
70.62,85.59
69.87,84.84
69.12,83.09
68.62,82.09
68.62,81.09
69.87,80.59
71.12,79.34
72.37,78.34
72.87,77.34
73.12,80.59
71.87,81.34
71.37,82.09
71.37,82.59
63.37,85.84
61.12,86.09
58.37,86.34
55.62,86.34
52.37,86.34
49.12,86.09
46.62,85.59
44.12,85.34
42.12,85.09
39.87,84.09
38.62,84.59
37.37,86.34
35.87,87.09
34.37,88.09
32.12,89.09
30.119999999999997,89.09
28.119999999999997,89.09
25.869999999999997,87.84
24.119999999999997,86.09
22.869999999999997,84.34
22.119999999999997,82.09
21.369999999999997,80.34
20.869999999999997,77.34
21.369999999999997,74.84
22.119999999999997,73.09
24.119999999999997,71.59
25.869999999999997,71.09
27.619999999999997,70.59
29.619999999999997,71.59
30.869999999999997,73.84
32.12,75.59
33.62,77.09
34.62,78.59
35.62,80.09
36.87,81.59
37.87,83.09
27.869999999999997,73.09
26.369999999999997,73.59
24.119999999999997,74.34
23.119999999999997,74.59
22.619999999999997,75.84
22.619999999999997,78.59
23.619999999999997,76.84
25.369999999999997,76.34
26.369999999999997,76.09
27.619999999999997,75.84
29.119999999999997,74.84
30.619999999999997,77.34
29.119999999999997,78.09
27.119999999999997,78.09
25.619999999999997,78.34
24.619999999999997,78.59
24.619999999999997,78.84
23.369999999999997,80.09
24.119999999999997,82.09
26.369999999999997,80.84
28.119999999999997,80.09
28.119999999999997,80.09
29.619999999999997,80.09
31.619999999999997,79.59
32.62,78.59
33.37,80.84
31.369999999999997,81.59
30.619999999999997,81.84
29.369999999999997,81.84
29.119999999999997,82.09
27.369999999999997,83.34
25.369999999999997,83.59
24.369999999999997,84.34
26.119999999999997,86.59
27.619999999999997,85.34
29.869999999999997,83.34
31.369999999999997,83.59
33.12,83.09
34.37,83.09
34.87,82.59
36.12,84.09
35.12,85.09
32.87,85.09
30.619999999999997,85.84
28.119999999999997,87.84
31.119999999999997,86.09
31.869999999999997,87.59
33.12,86.34
29.369999999999997,86.84
29.369999999999997,85.09
73.87,78.09
76.62,78.09
75.62,84.84
72.62,89.09
68.37,89.84
79.62,71.84
80.62,68.59
82.12,66.59
83.62,64.59
84.37,62.34
86.12,59.84
88.37,57.59
89.12,55.34
87.37,58.09
79.87,69.84
51.12,86.84
53.87,87.09
27.869999999999997,69.34
27.119999999999997,67.59
26.369999999999997,65.34
25.869999999999997,63.84
25.119999999999997,62.34
24.369999999999997,60.59
24.119999999999997,59.34
24.119999999999997,57.34
23.619999999999997,55.34
23.369999999999997,53.84
23.369999999999997,52.34
23.119999999999997,50.84
23.369999999999997,48.84
23.869999999999997,47.09
24.619999999999997,45.59
25.119999999999997,43.59
25.369999999999997,42.09
24.619999999999997,40.84
23.619999999999997,39.09
22.869999999999997,37.84
21.869999999999997,36.09
20.619999999999997,34.09
19.869999999999997,32.59
18.869999999999997,31.59
18.119999999999997,30.09
16.869999999999997,28.09
16.119999999999997,26.84
15.37,25.09
15.12,23.09
88.87,53.34
89.12,51.34
89.12,50.09
89.12,47.59
89.12,45.09
89.12,42.59
89.12,40.34
88.87,38.34
88.87,36.34
88.87,34.34
88.87,33.09
88.87,31.34
88.87,28.59
88.87,27.59
88.87,24.84
88.87,23.59
88.87,25.59
88.87,29.59
16.619999999999997,22.84
18.369999999999997,23.34
19.869999999999997,23.59
22.119999999999997,23.59
24.619999999999997,23.59
27.369999999999997,23.34
29.869999999999997,23.34
31.619999999999997,23.34
33.12,23.34
34.62,23.34
37.12,23.34
38.87,23.34
42.37,23.34
43.12,23.34
45.12,23.34
41.12,23.84
47.87,23.34
50.12,23.34
52.12,23.34
53.62,23.34
56.12,23.59
58.37,23.84
59.62,23.84
61.37,23.84
63.87,23.84
65.62,23.59
67.62,23.59
69.37,23.59
71.62,23.59
74.12,23.59
76.87,23.09
77.87,23.84
80.62,23.84
82.62,23.84
83.87,23.84
84.62,23.84
85.62,23.84
86.87,23.84
77.87,23.09
74.12,23.34
41.62,35.34
44.87,35.09
43.62,35.09
46.62,35.09
49.12,35.09
50.62,35.34
52.62,35.84
54.62,36.34
55.62,37.34
45.62,35.84
45.62,37.84
44.62,38.09
42.87,38.84
41.37,39.59
40.62,40.84
41.12,41.84
42.87,42.34
44.62,42.59
45.87,42.84
47.87,42.84
49.12,42.84
49.12,42.84
50.37,42.59
51.12,41.59
50.37,40.84
49.12,39.84
47.87,39.34
47.37,39.34
44.12,39.84
43.62,40.59
45.87,40.59
46.12,40.59
47.62,41.09
48.37,41.09
37.12,49.09
36.37,47.09
36.12,44.59
35.62,41.84
35.62,39.34
36.37,36.84
37.62,36.09
58.87,47.34
59.12,45.84
59.62,43.59
58.87,41.84
58.37,40.59
58.62,62.84
59.37,61.84
60.37,60.34
60.87,58.34
62.12,56.59
62.62,55.59
62.12,54.09
62.12,52.34
61.12,51.09
58.87,50.84
57.62,51.59
55.87,52.34
54.37,53.84
53.62,55.59
53.37,57.59
53.37,59.59
53.37,61.09
54.62,62.09
56.12,63.34
60.12,53.84
60.12,53.84
58.87,53.59
58.62,53.59
59.62,55.59
59.62,55.59
59.62,55.59
59.62,52.09
58.87,52.59
56.62,54.84
57.87,55.09
57.87,56.59
61.12,56.84
60.37,56.09
56.37,52.34
58.87,57.59
58.37,59.34
58.37,59.34
56.87,60.09
56.12,60.09
54.62,59.09
56.37,62.59
57.87,60.84
59.12,60.59
55.37,55.59
54.87,56.34
38.62,62.59
37.12,61.84
36.12,59.84
34.87,58.09
33.62,56.59
33.12,54.84
33.37,52.59
34.12,51.34
35.37,49.84
37.62,51.59
39.12,53.59
40.37,55.59
40.62,57.09
40.62,59.09
40.37,60.84
39.87,61.84
39.12,60.59
38.62,60.59
38.37,59.59
38.12,59.09
38.87,58.34
36.62,57.84
36.62,56.59
35.62,55.59
35.62,55.59
35.62,54.09
35.37,54.09
35.37,52.59
35.87,52.34
36.37,53.84
36.62,53.84
38.37,54.84
39.62,55.09
56.87,33.59
53.87,33.09
52.62,31.34
49.87,30.34
47.12,30.34
43.12,31.09
40.87,32.34
39.62,32.34
77.62,45.84
78.37,48.84
78.62,52.59
78.87,54.59
78.87,57.59
77.87,66.34
77.37,69.09
76.62,70.84
87.87,48.84
85.87,48.84
82.62,48.34
81.12,46.09
78.87,44.59
76.62,43.34
74.62,41.09
72.37,38.84
70.12,37.34
67.62,35.84
64.87,34.09
62.37,33.34
59.87,31.59
57.37,30.84
54.87,30.09
52.62,28.59
37.87,31.34
36.12,32.84
33.62,33.34
32.12,35.09
31.369999999999997,36.34
29.369999999999997,38.59
27.619999999999997,39.84
26.369999999999997,40.84
51.12,27.34
48.37,28.09
44.62,28.59
41.62,29.09
39.37,29.84
16.869999999999997,24.34
16.869999999999997,25.09
17.619999999999997,25.09
17.619999999999997,25.09
17.619999999999997,25.34
17.619999999999997,25.34
17.619999999999997,25.34
18.619999999999997,26.34
18.619999999999997,26.34
19.869999999999997,28.59
20.119999999999997,28.59
21.369999999999997,28.59
21.369999999999997,26.84
21.369999999999997,26.59
21.119999999999997,26.34
25.119999999999997,26.34
22.119999999999997,26.34
19.369999999999997,24.59
22.869999999999997,24.59
23.119999999999997,25.09
23.119999999999997,27.34
18.619999999999997,27.59
21.119999999999997,30.59
21.369999999999997,31.59
21.369999999999997,32.09
24.119999999999997,32.34
23.869999999999997,31.09
23.869999999999997,30.84
24.119999999999997,26.59
24.119999999999997,26.59
23.369999999999997,28.84
24.619999999999997,28.84
26.369999999999997,29.59
26.869999999999997,32.34
24.619999999999997,32.84
24.619999999999997,33.84
22.619999999999997,35.09
24.369999999999997,35.34
24.619999999999997,36.84
24.619999999999997,38.09
26.119999999999997,38.59
26.369999999999997,37.09
27.869999999999997,37.59
28.869999999999997,36.84
26.369999999999997,35.59
26.119999999999997,35.59
26.119999999999997,33.84
29.119999999999997,26.34
27.119999999999997,25.59
26.119999999999997,24.84
26.119999999999997,26.84
28.369999999999997,28.34
28.369999999999997,30.34
25.869999999999997,31.09
21.869999999999997,32.84
29.369999999999997,34.84
29.369999999999997,32.09
28.369999999999997,34.09
30.869999999999997,34.59
30.869999999999997,31.59
30.869999999999997,26.59
30.869999999999997,25.84
30.619999999999997,28.09
32.62,28.34
32.62,26.34
33.37,28.09
31.619999999999997,29.84
31.119999999999997,30.59
30.619999999999997,33.59
32.87,32.84
33.62,31.84
34.62,30.59
34.62,27.09
34.37,24.59
35.37,27.84
36.12,29.59
37.37,29.59
37.37,26.59
37.12,26.59
38.37,24.09
38.87,27.34
38.87,27.34
41.37,25.59
44.12,27.84
40.62,26.09
41.87,26.59
42.87,26.59
45.37,25.59
47.12,27.59
48.87,27.34
47.12,25.84
46.87,25.34
43.87,25.09
38.87,24.84
40.37,27.84
37.12,27.84
35.62,25.09
49.12,24.34
51.37,25.59
54.87,26.34
54.87,28.59
53.37,26.34
53.12,24.84
54.87,25.09
56.62,25.09
56.62,27.59
57.62,28.59
57.62,25.59
58.87,26.59
58.87,28.59
59.37,28.59
59.87,29.09
62.12,29.59
62.12,30.09
61.87,31.09
61.87,27.84
60.62,25.84
62.37,25.84
63.87,25.84
66.37,26.09
64.12,28.84
64.12,31.09
63.87,31.34
64.12,32.09
66.37,33.59
66.62,30.34
65.62,28.84
65.62,27.09
67.37,27.09
68.62,25.09
68.62,28.34
68.62,30.34
66.87,31.59
68.12,33.34
69.62,34.09
72.12,36.34
73.62,37.09
70.37,35.09
70.37,33.09
70.37,32.09
70.37,27.59
70.37,25.09
72.37,25.09
72.37,27.34
72.37,28.59
70.62,29.09
70.87,30.59
72.37,32.34
73.12,34.09
75.62,36.09
75.12,39.84
75.12,35.84
74.62,33.84
74.37,30.34
74.12,28.59
74.12,25.59
74.87,25.34
76.37,25.34
