x,y
94.0,-22.25
92.75,-23.0
91.5,-24.5
90.25,-25.75
88.0,-25.75
85.75,-25.75
84.0,-24.5
83.75,-22.25
84.5,-20.25
85.75,-18.5
86.75,-17.0
88.5,-16.25
90.25,-15.5
92.0,-15.0
93.5,-14.0
96.0,-13.5
98.25,-13.5
100.25,-13.0
102.25,-12.25
103.75,-12.0
104.25,-14.25
104.5,-16.75
105.0,-18.5
105.25,-19.75
105.75,-21.25
105.0,-22.25
102.5,-22.25
100.5,-22.25
98.75,-22.25
97.0,-21.75
95.5,-21.75
107.0,-35.25
106.0,-36.0
105.0,-36.75
104.25,-38.25
104.25,-39.75
105.0,-41.5
105.75,-43.0
107.25,-43.5
109.75,-43.0
110.75,-42.5
112.75,-41.75
114.25,-40.25
115.5,-39.0
116.0,-37.0
116.75,-35.25
117.5,-33.5
118.0,-31.5
119.0,-30.0
120.0,-28.75
121.5,-27.75
123.5,-26.5
125.0,-26.0
127.25,-25.25
129.75,-24.5
131.75,-23.25
132.75,-22.5
134.5,-21.0
135.25,-19.75
136.0,-17.75
136.75,-16.25
137.25,-14.0
136.75,-11.5
107.25,-33.5
107.25,-31.25
107.75,-28.75
108.75,-27.25
110.5,-25.75
111.5,-23.75
112.5,-21.75
112.75,-19.75
112.75,-17.0
112.5,-15.0
108.75,-25.0
107.75,-24.0
107.25,-23.25
104.5,-10.25
104.5,-8.5
105.25,-6.0
106.0,-4.0
107.25,-2.5
107.75,-1.0
108.5,0.25
109.25,1.75
109.25,3.75
113.25,-44.5
114.25,-47.25
115.5,-49.25
116.75,-51.25
117.0,-53.25
118.75,-54.75
120.0,-56.0
121.0,-57.25
115.5,-54.0
112.75,-54.5
110.75,-55.5
109.25,-56.5
107.75,-57.5
106.5,-58.75
106.5,-61.0
107.0,-62.75
108.5,-63.5
110.5,-63.5
112.75,-64.25
114.25,-63.5
115.5,-60.75
117.0,-59.5
119.0,-58.75
122.75,-57.25
124.5,-57.5
127.0,-58.0
129.0,-58.75
131.25,-60.0
128.25,-57.25
126.5,-55.25
125.75,-53.25
125.5,-50.75
125.75,-48.5
126.25,-47.0
127.25,-45.75
128.5,-44.5
129.75,-43.5
131.0,-42.5
132.0,-41.5
133.75,-41.0
135.25,-40.25
136.75,-39.5
138.25,-39.0
140.25,-39.0
142.25,-39.0
144.0,-39.0
145.5,-39.5
147.5,-40.25
149.0,-40.75
150.5,-41.5
151.75,-42.5
153.25,-43.5
154.5,-45.0
155.75,-46.25
114.25,-65.75
115.5,-67.5
118.0,-68.25
120.25,-68.25
122.75,-68.25
124.5,-68.5
127.25,-68.25
129.25,-68.25
132.0,-68.25
134.0,-68.25
136.5,-68.25
138.25,-68.25
140.0,-67.75
142.25,-68.25
144.25,-67.75
146.75,-67.5
148.25,-67.5
150.25,-67.5
152.25,-67.0
154.5,-66.5
156.5,-66.5
158.75,-67.0
161.25,-67.0
