x,y
13.0,-44.0
9.0,-48.0
6.0,-54.0
4.0,-62.0
5.0,-67.0
9.0,-68.0
17.0,-66.0
22.0,-62.0
29.0,-56.0
33.0,-51.0
37.0,-46.0
45.0,-45.0
51.0,-44.0
58.0,-44.0
59.0,-50.0
60.0,-58.0
60.0,-64.0
57.0,-74.0
57.0,-79.0
57.0,-91.0
56.0,-97.0
54.0,-111.0
52.0,-118.0
51.0,-125.0
50.0,-129.0
46.0,-142.0
43.0,-147.0
38.0,-156.0
32.0,-164.0
32.0,-164.0
25.0,-176.0
22.0,-184.0
27.0,-194.0
29.0,-198.0
37.0,-199.0
43.0,-203.0
53.0,-200.0
57.0,-198.0
63.0,-191.0
66.0,-184.0
68.0,-180.0
72.0,-169.0
75.0,-157.0
76.0,-147.0
78.0,-135.0
78.0,-121.0
81.0,-110.0
81.0,-98.0
82.0,-88.0
85.0,-75.0
85.0,-68.0
87.0,-56.0
87.0,-50.0
88.0,-44.0
94.0,-44.0
101.0,-43.0
110.0,-43.0
115.0,-43.0
125.0,-42.0
132.0,-45.0
131.0,-51.0
129.0,-63.0
128.0,-70.0
126.0,-80.0
124.0,-94.0
124.0,-103.0
124.0,-118.0
122.0,-129.0
123.0,-143.0
125.0,-155.0
127.0,-169.0
129.0,-180.0
134.0,-191.0
139.0,-196.0
147.0,-203.0
156.0,-204.0
169.0,-204.0
183.0,-200.0
188.0,-194.0
195.0,-186.0
201.0,-178.0
204.0,-168.0
207.0,-156.0
209.0,-147.0
205.0,-138.0
199.0,-140.0
194.0,-147.0
189.0,-157.0
184.0,-159.0
170.0,-162.0
162.0,-153.0
155.0,-143.0
156.0,-130.0
153.0,-117.0
155.0,-106.0
155.0,-94.0
155.0,-80.0
159.0,-70.0
157.0,-57.0
161.0,-47.0
165.0,-42.0
173.0,-42.0
180.0,-41.0
188.0,-42.0
199.0,-40.0
206.0,-39.0
208.0,-35.0
209.0,-31.0
208.0,-21.0
208.0,-13.0
207.0,-7.0
200.0,-5.0
193.0,-5.0
182.0,-6.0
175.0,-6.0
162.0,-7.0
141.0,-8.0
124.0,-6.0
107.0,-8.0
87.0,-6.0
71.0,-7.0
57.0,-7.0
45.0,-9.0
36.0,-13.0
33.0,-15.0
27.0,-20.0
21.0,-25.0
16.0,-33.0
15.0,-36.0
14.0,-56.0
20.0,-50.0
23.0,-39.0
30.0,-46.0
33.0,-29.0
39.0,-40.0
46.0,-23.0
51.0,-33.0
60.0,-17.0
67.0,-35.0
68.0,-23.0
54.0,-29.0
39.0,-30.0
75.0,-18.0
75.0,-33.0
72.0,-39.0
81.0,-36.0
87.0,-22.0
91.0,-15.0
99.0,-18.0
95.0,-32.0
94.0,-34.0
101.0,-37.0
107.0,-33.0
113.0,-27.0
111.0,-21.0
118.0,-16.0
124.0,-23.0
124.0,-28.0
125.0,-33.0
134.0,-35.0
136.0,-29.0
139.0,-21.0
130.0,-20.0
118.0,-35.0
116.0,-23.0
103.0,-27.0
97.0,-24.0
84.0,-29.0
125.0,-15.0
139.0,-16.0
150.0,-16.0
155.0,-17.0
147.0,-27.0
155.0,-30.0
147.0,-36.0
164.0,-23.0
164.0,-23.0
174.0,-19.0
189.0,-21.0
180.0,-27.0
194.0,-32.0
201.0,-12.0
175.0,-29.0
163.0,-33.0
157.0,-38.0
147.0,-47.0
139.0,-50.0
143.0,-60.0
135.0,-69.0
142.0,-74.0
140.0,-87.0
146.0,-91.0
136.0,-99.0
135.0,-110.0
139.0,-119.0
144.0,-117.0
146.0,-105.0
147.0,-97.0
130.0,-117.0
131.0,-129.0
132.0,-134.0
140.0,-135.0
142.0,-130.0
146.0,-124.0
149.0,-138.0
132.0,-147.0
130.0,-141.0
142.0,-147.0
151.0,-150.0
142.0,-160.0
138.0,-155.0
133.0,-160.0
135.0,-169.0
147.0,-165.0
151.0,-156.0
160.0,-160.0
160.0,-167.0
157.0,-173.0
148.0,-172.0
143.0,-180.0
136.0,-179.0
143.0,-188.0
152.0,-189.0
148.0,-198.0
160.0,-199.0
158.0,-190.0
152.0,-180.0
162.0,-181.0
170.0,-170.0
170.0,-179.0
183.0,-169.0
192.0,-165.0
198.0,-155.0
202.0,-145.0
199.0,-165.0
191.0,-176.0
190.0,-183.0
184.0,-186.0
179.0,-179.0
177.0,-171.0
177.0,-184.0
168.0,-188.0
166.0,-194.0
172.0,-196.0
178.0,-193.0
66.0,-46.0
75.0,-48.0
70.0,-59.0
66.0,-66.0
72.0,-73.0
75.0,-66.0
78.0,-54.0
69.0,-53.0
65.0,-72.0
67.0,-84.0
71.0,-87.0
77.0,-78.0
79.0,-66.0
76.0,-92.0
67.0,-99.0
63.0,-92.0
75.0,-102.0
66.0,-105.0
61.0,-102.0
61.0,-114.0
69.0,-116.0
73.0,-107.0
75.0,-117.0
68.0,-124.0
60.0,-119.0
60.0,-124.0
58.0,-130.0
64.0,-133.0
74.0,-133.0
69.0,-140.0
61.0,-141.0
54.0,-136.0
50.0,-135.0
54.0,-145.0
62.0,-151.0
69.0,-149.0
68.0,-157.0
58.0,-158.0
51.0,-151.0
47.0,-155.0
46.0,-160.0
50.0,-165.0
54.0,-167.0
63.0,-167.0
68.0,-162.0
60.0,-176.0
48.0,-176.0
42.0,-170.0
42.0,-164.0
38.0,-176.0
33.0,-180.0
40.0,-188.0
51.0,-186.0
59.0,-183.0
45.0,-180.0
32.0,-186.0
35.0,-195.0
46.0,-195.0
53.0,-191.0
