x,y
18.0,36.2
17.6,35.4
18.0,34.4
18.4,35.4
21.4,36.0
21.3,35.0
22.1,35.6
21.9,34.8
16.5,27.9
17.1,27.4
18.1,27.0
18.9,27.0
20.0,26.9
20.8,27.2
21.5,27.4
19.3,26.1
19.2,25.1
19.1,24.3
18.5,24.5
17.4,24.8
16.1,25.4
15.1,26.2
14.3,27.2
13.8,28.2
13.2,29.6
13.0,30.5
13.0,32.4
12.9,33.5
13.0,34.8
13.2,35.8
13.6,37.1
13.9,38.2
14.0,39.2
14.3,40.0
15.1,40.4
16.1,40.9
16.6,40.1
17.6,39.7
18.5,39.3
19.7,39.6
20.4,40.3
20.7,40.8
21.2,40.0
21.8,39.6
22.9,39.6
23.6,40.0
24.2,40.4
24.5,40.9
25.3,40.0
26.1,39.7
27.2,39.5
28.2,39.7
29.0,40.4
29.0,41.0
29.8,41.1
30.8,41.7
31.1,42.7
31.0,43.8
30.6,44.5
30.1,45.3
28.9,45.5
29.3,46.3
28.9,47.2
27.9,47.7
27.2,47.9
26.3,47.8
25.6,47.4
25.5,48.3
24.5,49.0
23.5,49.3
22.8,49.3
22.3,49.3
21.8,49.3
21.2,49.0
20.5,48.0
19.8,48.6
19.3,48.9
18.2,49.0
16.9,48.9
16.3,48.0
16.1,47.4
15.8,46.8
14.7,47.1
13.8,47.1
12.9,46.7
12.4,46.3
12.0,45.7
11.5,44.9
11.3,44.1
11.3,43.3
11.5,42.0
12.2,41.5
13.2,40.9
12.1,40.5
11.4,39.9
10.6,39.0
9.8,38.5
9.1,37.8
8.4,37.1
8.0,36.5
7.7,35.9
7.2,35.1
6.8,34.2
6.5,33.3
6.5,32.6
6.8,31.9
7.5,31.4
8.7,31.1
9.5,31.3
10.3,31.8
11.4,32.4
12.2,33.2
28.5,38.9
28.5,37.7
28.5,36.3
28.7,35.4
28.7,34.3
28.6,32.9
28.3,31.5
28.2,30.5
28.0,29.4
27.5,28.3
27.2,27.6
26.6,27.2
26.1,26.5
25.3,25.8
24.5,25.5
23.8,25.0
23.0,24.6
22.0,24.5
21.0,24.5
20.1,24.4
29.0,33.6
30.1,32.7
30.6,32.0
31.7,31.8
33.1,31.8
34.0,32.4
34.5,33.0
34.5,34.0
34.2,34.8
33.9,35.7
33.1,36.9
32.5,37.9
31.8,38.8
31.0,39.7
30.4,40.3
20.0,23.7
20.1,22.7
21.1,21.8
21.8,21.3
22.6,21.0
23.6,20.9
24.8,20.9
25.3,20.3
26.0,20.0
26.8,19.9
27.6,19.8
28.3,19.8
29.3,20.1
29.8,20.7
30.3,20.1
31.0,19.4
31.8,19.3
32.7,18.8
34.2,19.2
34.9,19.9
35.4,19.3
36.2,18.8
37.5,18.7
38.4,18.8
39.5,19.1
39.9,19.8
40.6,19.4
41.3,19.1
42.2,19.0
43.5,18.8
44.6,19.3
45.8,20.1
46.5,20.9
46.6,21.6
47.2,20.9
48.4,20.7
49.6,20.6
51.0,20.6
51.9,21.3
52.6,22.2
52.7,23.0
53.6,23.0
54.9,23.3
55.8,23.8
56.4,24.7
56.7,25.9
56.7,26.8
57.5,27.0
58.7,28.0
58.9,29.0
58.9,29.7
58.9,30.5
58.5,31.9
58.0,32.5
58.8,33.3
59.3,34.3
59.2,35.1
58.7,36.2
57.9,36.6
58.0,37.3
58.3,38.2
58.3,38.9
58.0,40.0
57.5,41.1
56.6,41.5
55.8,41.8
55.9,43.0
55.3,44.1
54.4,44.6
53.2,44.9
52.5,44.9
52.1,46.2
51.1,46.9
49.8,47.2
48.9,47.2
48.2,47.0
47.8,46.8
46.9,47.4
45.4,47.9
44.2,48.3
43.3,48.2
42.7,47.7
42.0,47.2
41.6,46.9
41.0,47.5
40.1,48.2
38.7,48.6
37.5,48.6
36.5,48.3
35.3,47.7
34.5,46.8
33.8,47.2
32.8,47.7
31.6,47.9
30.9,47.8
30.0,47.5
56.2,43.9
57.4,43.9
58.7,43.4
59.6,43.0
60.8,42.3
61.6,41.5
62.3,40.4
62.6,39.3
63.0,38.4
63.0,37.5
62.5,36.9
61.5,36.5
60.3,36.9
59.4,37.5
58.7,38.5
56.2,23.0
56.2,21.6
56.0,19.9
56.0,18.8
56.0,17.3
56.0,16.2
56.0,14.8
56.0,13.5
55.8,12.4
55.7,10.8
55.3,9.8
54.9,8.6
54.5,7.7
53.8,7.2
52.0,7.2
50.5,7.4
49.8,8.0
50.0,8.7
50.4,9.6
50.6,10.7
51.1,11.6
51.4,12.6
51.5,13.8
51.5,15.4
51.5,16.7
51.5,18.0
51.5,18.6
51.5,19.3
51.5,20.2
50.7,10.2
51.7,9.8
52.6,9.7
53.5,9.7
54.5,9.8
51.2,8.8
51.1,7.9
52.0,8.5
52.6,7.8
53.3,8.2
52.7,8.5
53.6,8.5
53.0,8.8
53.5,8.9
54.1,8.9
53.5,7.8
52.5,7.8
50.3,7.9
50.8,8.7
52.0,9.2
45.2,19.2
45.2,18.0
45.3,16.9
45.3,15.8
45.2,14.8
45.2,13.8
45.0,12.7
44.7,11.5
44.2,10.9
43.8,9.7
43.6,9.0
43.9,8.3
44.8,8.2
46.0,7.9
47.2,7.9
48.0,8.1
48.5,9.0
48.5,10.5
48.9,11.5
49.3,12.6
49.5,13.8
49.5,15.2
49.5,16.5
49.5,17.7
49.5,19.1
49.5,19.7
44.5,10.7
45.5,10.3
46.5,10.2
47.3,10.2
47.8,10.3
47.8,9.5
47.2,8.8
47.0,9.4
46.8,8.9
45.9,8.7
46.2,9.6
46.0,9.6
45.5,9.6
45.5,9.6
45.4,9.6
44.8,9.7
44.2,9.3
45.0,8.9
49.0,9.7
49.0,10.8
36.0,18.4
35.7,16.8
35.7,15.5
35.7,14.6
35.7,13.4
35.6,12.3
35.5,11.2
35.4,10.2
35.2,9.0
34.8,8.0
34.5,6.8
33.9,6.5
32.8,6.4
31.7,6.4
30.4,6.5
29.7,6.8
29.5,7.5
29.8,8.2
30.4,9.4
30.8,10.5
30.9,11.9
31.2,13.0
31.2,14.0
31.2,15.4
31.2,16.5
31.2,17.8
31.2,18.3
30.8,9.5
31.5,8.8
32.5,8.8
33.6,9.0
34.5,9.2
30.8,8.1
30.8,7.3
31.9,7.8
31.9,7.4
32.8,7.7
32.8,7.7
32.8,7.8
33.5,7.9
34.1,8.2
34.0,7.5
32.6,7.0
31.3,6.8
31.0,7.2
30.2,8.9
33.5,8.5
33.8,6.7
29.1,19.3
29.1,17.9
29.0,16.9
29.0,15.8
29.0,14.6
28.9,13.4
28.7,11.9
28.5,10.9
28.2,10.0
28.0,9.0
27.6,8.2
26.8,7.8
25.6,7.8
24.4,7.8
23.6,8.2
23.1,9.0
23.1,10.0
23.5,10.8
23.8,11.7
24.3,12.7
24.6,13.8
24.8,15.0
24.9,16.0
24.9,16.8
24.9,17.7
24.9,18.7
24.8,19.5
36.1,17.6
33.2,19.0
24.0,11.1
24.4,10.8
25.7,10.4
27.1,10.4
27.1,9.8
24.8,10.1
24.8,9.4
24.0,10.1
24.0,9.3
25.2,9.8
25.2,8.2
25.3,8.2
25.7,8.8
26.4,8.9
26.4,8.3
26.4,8.8
25.6,10.0
25.9,9.7
27.1,8.7
27.1,9.2
24.4,8.7
13.1,31.4
